bundle_idx,item_idx
0,105
0,109
0,110
0,111
0,143
0,148
0,187
0,188
0,194
0,198
0,202
0,203
0,207
0,233
1,656
1,657
1,658
1,659
1,660
1,661
1,662
1,663
1,664
1,665
1,666
1,667
1,668
2,669
2,670
2,671
2,672
2,673
2,674
2,675
2,676
2,677
2,678
2,679
2,680
2,681
3,341
3,356
3,360
3,361
3,362
3,405
3,418
3,419
3,420
3,422
4,630
4,631
4,632
4,633
4,634
4,635
4,636
4,637
4,638
4,639
4,640
4,641
4,642
5,5
5,6
5,7
5,8
5,9
5,119
5,122
5,123
5,125
6,16
6,186
6,189
6,190
7,241
7,242
7,343
8,421
8,573
9,427
9,428
9,429
10,643
10,644
10,645
10,646
10,647
10,648
10,649
10,650
10,651
10,652
10,653
10,654
10,655
11,173
11,682
12,409
12,452
13,1
13,2
13,3
13,10
13,11
13,12
13,13
13,14
13,15
13,17
13,18
13,19
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,39
13,40
13,42
13,48
13,49
13,50
13,51
13,60
13,61
13,62
13,70
13,73
13,74
13,76
13,77
13,78
13,79
13,80
13,81
13,90
13,91
13,101
13,195
13,304
13,306
13,307
13,308
14,297
14,503
15,157
15,169
15,309
15,431
15,629
16,575
16,576
16,577
16,578
16,579
16,580
16,581
16,582
16,583
16,584
16,585
16,586
16,587
16,588
17,603
17,604
17,605
17,606
17,607
17,608
17,609
17,610
17,611
17,612
17,613
17,614
17,615
18,616
18,617
18,618
18,619
18,620
18,621
18,622
18,623
18,624
18,625
18,626
18,627
18,628
19,589
19,590
19,591
19,592
19,593
19,594
19,595
19,596
19,597
19,598
19,599
19,600
19,601
19,602
20,214
20,230
20,231
20,232
20,286
20,287
20,291
20,292
20,293
20,294
20,295
20,302
21,214
21,230
21,231
21,232
21,286
21,287
21,291
21,292
21,293
21,294
21,295
22,54
22,75
22,318
22,370
23,256
23,317
24,145
24,347
25,152
25,172
26,338
26,392
27,84
27,87
27,89
27,135
27,312
27,316
28,367
28,368
28,373
28,404
29,366
29,367
29,368
29,372
29,404
29,406
30,193
30,213
30,257
30,321
30,425
31,59
31,160
31,244
31,245
31,246
31,247
31,248
31,249
31,250
31,251
31,259
31,260
31,261
31,262
31,263
31,264
31,265
31,266
31,267
31,268
31,269
31,270
31,273
31,274
31,275
31,276
31,277
31,278
31,279
31,280
31,281
31,282
31,283
31,284
31,285
31,683
32,102
32,507
32,508
32,509
33,107
33,108
33,113
33,114
33,116
33,117
33,118
33,126
33,127
33,128
33,130
33,133
33,134
33,136
33,137
33,138
33,141
33,153
33,156
33,158
33,159
33,163
33,684
34,92
34,106
34,225
34,424
35,253
35,324
35,325
36,240
36,374
37,223
37,300
37,303
37,329
37,330
37,355
37,357
37,358
37,359
38,300
38,303
38,329
38,330
38,355
38,357
38,358
38,359
39,112
39,154
39,171
39,184
39,200
39,206
39,236
39,239
39,288
39,290
39,311
39,328
39,334
39,408
39,433
40,151
40,344
41,167
41,179
41,226
41,227
41,271
41,272
41,336
41,337
41,342
41,350
41,351
41,352
42,271
42,272
42,336
42,337
42,342
42,350
42,351
42,352
43,315
43,402
44,333
44,375
44,390
45,301
45,572
46,393
46,570
46,571
47,68
47,69
47,71
47,72
47,82
48,161
48,162
48,369
49,335
49,574
50,103
50,142
51,212
51,504
52,181
52,451
53,423
53,432
54,371
54,416
55,320
55,353
56,0
56,53
56,94
56,132
56,146
56,174
56,199
56,201
56,258
57,299
57,323
57,365
58,53
58,94
58,146
59,363
59,545
60,228
60,401
61,364
61,403
62,510
62,511
62,512
62,513
62,514
62,515
62,516
62,517
62,518
62,519
62,520
62,521
63,534
63,535
63,536
63,537
63,538
63,539
63,540
63,541
63,542
63,543
63,544
64,558
64,559
64,560
64,561
64,562
64,563
64,564
64,565
64,566
64,567
64,568
64,569
65,453
65,454
65,455
65,456
65,457
65,458
65,459
65,460
65,461
65,462
66,476
66,477
66,478
66,479
66,480
66,481
66,482
66,483
66,484
66,485
66,486
66,487
66,489
67,490
67,491
67,492
67,493
67,494
67,495
67,496
67,497
67,498
67,499
67,500
67,501
67,502
67,505
68,522
68,523
68,524
68,525
68,526
68,527
68,528
68,529
68,530
68,531
68,532
68,533
69,546
69,547
69,548
69,549
69,550
69,551
69,552
69,553
69,554
69,555
69,556
69,557
70,435
70,436
70,437
70,438
70,439
70,440
70,441
70,442
70,443
70,444
70,445
70,446
70,447
71,463
71,464
71,465
71,466
71,467
71,468
71,469
71,470
71,471
71,472
71,473
71,474
71,475
72,4
72,124
72,164
73,399
73,417
74,166
74,208
74,238
74,371
74,396
75,243
75,339
75,345
76,407
76,434
77,43
77,44
77,45
77,46
77,216
77,218
77,220
77,221
77,222
78,378
78,379
78,380
78,381
78,382
78,383
78,384
78,385
78,386
78,387
