user_idx,bundle_idx
0,56
0,57
0,58
0,74
0,75
0,77
1,84
1,98
2,6
3,77
4,13
5,13
6,13
6,39
7,27
7,56
8,13
8,57
8,74
8,77
8,83
8,84
8,98
9,13
10,0
10,6
10,13
10,27
10,30
10,33
10,39
10,47
10,48
10,54
10,57
10,58
10,74
10,75
10,77
10,83
10,84
10,96
10,97
10,98
10,108
10,116
10,117
11,75
12,117
13,31
14,0
14,6
14,27
14,30
14,56
14,58
14,74
14,77
14,83
14,84
14,97
14,98
15,56
16,39
16,56
16,84
17,39
18,83
19,27
19,83
19,84
20,39
21,39
22,27
22,33
22,39
22,74
22,77
22,83
22,84
22,97
22,98
23,13
23,27
23,77
24,39
25,56
26,31
27,39
27,56
28,27
29,13
29,39
29,56
30,6
30,13
30,27
30,39
30,56
30,74
30,77
31,84
32,0
32,13
32,27
32,30
32,39
32,47
32,56
32,57
32,58
32,74
32,75
32,77
32,84
32,96
32,97
32,98
32,102
32,108
32,116
33,35
34,72
35,27
36,6
36,13
36,27
36,30
36,33
36,39
36,47
36,56
36,74
36,75
36,77
36,84
36,96
36,98
36,108
36,115
37,6
37,13
37,27
37,35
37,56
37,77
37,83
38,27
38,39
38,56
38,57
38,58
38,74
38,75
38,97
39,39
39,56
39,75
40,84
41,6
41,103
42,13
43,39
43,56
43,57
43,75
43,84
44,6
45,39
45,56
45,83
45,84
46,39
46,58
47,13
47,39
47,56
48,13
48,20
48,27
48,33
48,39
48,56
48,57
48,58
48,74
48,75
48,83
48,84
48,97
48,98
49,98
50,13
51,13
52,13
52,27
52,39
52,44
52,57
52,58
52,74
52,75
52,84
52,97
52,98
52,108
53,0
53,13
53,30
53,39
53,44
53,54
53,56
53,57
53,58
53,75
53,83
53,84
53,97
53,98
53,108
54,6
54,13
54,27
54,44
54,56
54,57
54,74
54,75
54,83
54,84
55,39
55,56
55,58
55,75
55,84
56,27
56,39
56,74
57,0
57,39
57,97
57,98
58,13
58,20
58,27
58,29
58,30
58,39
58,43
58,44
58,48
58,54
58,56
58,57
58,58
58,61
58,74
58,75
58,77
58,83
58,84
58,97
58,98
58,108
58,115
58,116
59,6
59,56
59,77
60,0
60,13
60,27
60,47
60,56
60,74
60,77
60,83
60,96
60,98
60,108
61,33
62,13
63,27
63,74
63,84
