original_id,inner_id
js41637,0
EizanAratoFujimaki,1
chidori_647,2
76561198092227136,3
750805,4
maxpaynepillkiller,5
76561197992148038,6
Bluegills,8
ConkerBirdy,9
chidvd,10
cosmicguy22,11
76561198021814659,12
degen97,13
Efreak,14
76561198014848587,15
treemasterrace,17
Nzatz,18
hecaton_john,19
hewl,20
76561198081148689,21
KioKIzz,22
kurbi-wan_kenobi,23
lucamaster5901,24
lulzley,25
TacticalCrayon,26
76561198061407062,27
narasha,28
smurfdicking,29
PiozZ,30
gazbby,31
phrostb,32
PinkPyroGames,33
76561198009607326,34
SSchubert,35
rawrvixen,36
76561197981203305,37
76561198092310770,38
SakifX9,39
finagn,40
skotavus,41
76561198060787863,42
Kaj3n,43
SteevH,44
thediamond96,45
bag_man,46
ED13,47
adi_a12,48
hvf,49
Gotaki,50
ZombieBiscuit,51
InTranze,52
CSMisBeast,53
Scorpion1903,54
Aussiefella_69,55
jz4012,56
FinNaLe,57
mayshowganmore,58
Cydran,59
piepai,60
76561197993185475,61
76561197975369524,62
smitty_werbenjagermanjensen,63
Anthro93,64
archangel147,65
beadwa,66
WhenWeWereYoungggg,67
76561197983367658,68
GoodOldJacob,69
beepsiren,70
bieel123,71
76561198041964530,72
frosty0wnz6,73
BlackTheKing,74
MRSALM0N,75
76561197983589335,76
Blood_and_Bone,77
BrayDog98,78
The-Party,79
76561197995897347,80
76561198013714714,81
Calesti,82
zombiehackerbrah,83
76561198082142359,84
baeritto,85
agenteagle,86
76561198084694331,87
defox01,88
djnemonic,89
4432XABLAU,90
doogi,91
DoctorSpaceman,92
BESTPERSON,93
MAKLO_GEMING_xDDDD,94
elgerjp,95
76561198072436531,96
Pinguinbeta18,97
eunmac,98
firestreaker,99
Letachal,100
nene_oficial,101
fenetic,102
FishMist,103
podeirladenunciar,104
fredericktb,105
GenericNerd,106
GEORGEOUSCZ,107
Gilsham,108
Playerize,109
76561198046166277,110
Blarghargh,111
Heckler_Tepes,112
76561198058230663,113
76561198003378621,114
holty07,115
InfinitePeace,116
irraquatedd,117
76561198034310657,118
cyberjepp,119
76561198024997743,120
76561198078112264,121
Mr_Haus,122
krisx,123
bottlescKy,124
stackonme,125
_ndsa,126
Michael__James,127
tanderskaife,128
megatr0n69,129
nukem2000,130
76561198083814242,131
76561198062375205,132
EdfromNZ,133
76561198070528856,134
iamnotcool,135
Swahboo,136
rothplayzito,137
76561197994830976,138
remyau,139
roman90009,140
rowjack1993,141
poopinya,142
76561198046563007,143
battlefrog,144
76561198075427390,145
sesepe,147
Shanks-From-The-Anime-Group,148
76561198067439927,149
SirexPower,150
SkittleRage,151
thesnozberry,152
