user_idx,item_idx,weight,raw_playtime
0,0,0.90835352,220
0,16,0.70499683,65
0,41,0.67734942,55
0,53,0.91137191,224
0,87,0.72873625,75
0,94,0.92082373,237
0,101,0.72873625,75
0,131,0.93699015,261
0,132,1.00000000,380
0,140,0.90682377,218
0,152,0.97581835,329
0,159,0.52013239,21
0,166,0.90450276,215
0,174,0.91725096,232
0,175,0.90835352,220
0,182,0.90835352,220
0,196,0.92362831,241
0,199,0.90135741,211
0,208,0.90450276,215
0,216,0.83273211,140
0,217,0.92977275,250
0,218,0.87288590,178
0,219,0.91940371,235
0,235,0.91211812,225
0,238,0.90450276,215
0,243,0.91137191,224
0,299,0.88024318,186
0,314,0.92977275,250
0,319,0.92293153,240
0,323,0.92082373,237
0,339,0.90682377,218
0,345,0.90682377,218
0,365,0.92082373,237
1,63,0.83869137,331
1,84,0.95796169,757
1,87,0.91422266,559
1,132,0.79060111,237
1,166,0.77456760,212
1,183,0.82831904,308
1,200,0.79419816,243
1,208,0.77388772,211
1,217,0.76973986,205
1,219,0.78376451,226
1,235,1.00000000,1013
1,237,0.79885902,251
1,243,0.76973986,205
1,314,0.78876844,234
1,319,0.80829062,268
2,11,0.45020875,30
2,14,0.54108297,61
2,16,0.51802304,51
2,41,0.84464145,627
2,48,0.58398183,85
2,69,0.55885350,70
2,101,0.56777557,75
2,120,0.32578069,11
2,159,1.00000000,2053
2,186,0.23490646,5
2,218,0.65246867,144
2,307,0.88646784,863
2,310,0.61977847,112
2,318,0.64786806,139
2,324,0.44146526,28
3,57,0.89670472,76
3,84,0.14308844,1
3,87,0.75091777,37
3,112,0.28617688,3
3,154,0.72179449,32
3,171,0.68787692,27
3,184,0.99672322,124
3,200,0.14308844,1
3,216,1.00000000,126
3,218,0.28617688,3
3,236,0.63809312,21
3,256,0.14308844,1
4,16,0.74700881,88
4,20,0.78226435,109
4,41,0.85372911,168
4,43,0.90061812,223
4,48,1.00000000,406
4,52,0.88258775,200
4,53,0.64425385,47
4,94,0.76969822,101
4,168,0.77452239,104
4,173,0.93293000,271
4,256,0.84147163,156
4,307,0.89686125,218
4,365,0.75960894,95
5,0,0.52736331,62
5,1,0.53894275,68
5,53,0.83937694,730
5,94,0.08822798,1
5,132,0.69438636,233
5,219,0.50536283,52
5,234,0.94998211,1742
5,307,0.84449637,760
5,683,1.00000000,2581
6,1,0.17573145,3
6,10,1.00000000,2666
6,20,0.08786572,1
6,54,0.74961602,369
6,57,0.62821771,141
6,83,0.64255176,158
6,84,0.67099756,198
6,87,0.56756264,87
6,112,0.68371481,219
6,135,0.60897426,121
6,154,0.67226520,200
6,171,0.62551092,138
6,184,0.66243365,185
6,200,0.60037683,113
6,206,0.64013715,155
6,218,0.65614657,176
6,236,0.66175029,184
6,239,0.65103151,169
6,256,0.68371481,219
6,288,0.68197433,216
6,290,0.70391229,257
6,311,0.68080058,214
6,312,0.72718767,309
6,315,0.63767564,152
6,321,0.62821771,141
6,364,0.66243365,185
6,371,0.66971711,196
7,0,0.81007156,171
7,41,0.81809794,180
7,53,0.81007156,171
7,84,0.85716402,231
7,87,0.91638445,337
7,132,0.81007156,171
7,135,0.96893617,471
7,140,0.84808906,218
7,154,0.88334927,273
7,166,0.91213727,328
7,171,0.88731922,280
7,182,1.00000000,574
7,206,0.85716402,231
7,208,0.60921869,47
7,256,0.99499481,556
7,315,0.91498142,334
8,14,0.10788503,1
8,16,0.77779208,147
8,21,0.65444021,66
8,41,0.74515009,119
8,43,0.75025367,123
8,48,0.74899338,122
8,52,0.74899338,122
8,54,0.74772280,121
8,56,0.77352757,143
8,57,0.75640646,128
8,73,0.74772280,121
8,74,0.74899338,122
8,101,0.94197861,424
8,104,0.75274405,125
8,120,1.00000000,616
8,127,0.17099373,2
8,140,0.52938003,29
8,141,0.51298118,26
8,155,0.78091550,150
8,166,0.76232524,133
8,175,0.75025367,123
8,182,0.70209361,90
8,183,0.76115935,132
8,196,0.70209361,90
8,197,0.76115935,132
8,208,0.52938003,29
8,216,0.74899338,122
8,217,0.76348246,134
8,218,0.74899338,122
8,219,0.76232524,133
8,235,0.76232524,133
8,237,0.76115935,132
8,238,0.74772280,121
8,299,0.52938003,29
8,307,0.75998466,131
8,314,0.76232524,133
8,319,0.76232524,133
8,323,0.74772280,121
8,325,0.84775851,231
8,326,0.75025367,123
8,340,0.76115935,132
8,345,0.52938003,29
8,684,0.82230528,196
9,11,1.00000000,473
9,17,0.73034544,89
9,41,0.92897135,305
9,48,0.95031243,348
9,101,0.51581673,23
9,159,0.82872483,164
9,175,0.22500369,3
9,196,0.42833445,13
9,216,0.54653182,28
9,218,0.79735263,135
10,0,0.48730681,35
10,1,0.50163431,39
10,2,0.60413639,84
10,3,0.65102971,119
10,10,0.53990234,52
10,11,0.31311831,9
10,13,0.47953409,33
10,14,0.49465917,37
10,15,0.47547452,32
10,16,0.64285645,112
10,17,0.21886031,4
10,21,0.42638192,22
10,41,0.78567725,322
10,43,0.72117285,200
10,47,0.28277401,7
10,48,0.77608455,300
10,52,0.94880946,1071
10,53,0.57966288,70
10,54,0.80378295,368
10,55,0.69759212,168
10,56,0.73651141,224
10,57,0.62068541,95
10,64,0.96739526,1228
10,65,0.66805009,135
10,66,0.70388159,176
10,67,0.64042807,110
10,68,0.64641959,115
10,69,0.64641959,115
10,71,0.58711601,74
10,72,0.58156481,71
10,73,0.75138178,250
10,74,0.60089849,82
10,83,0.50826907,41
10,84,0.73283590,218
10,87,0.55901946,60
10,91,0.79966753,357
10,93,0.55901946,60
10,94,0.73221354,217
10,101,0.81576871,402
10,104,0.85879745,552
10,105,0.59069478,76
10,112,0.63543721,106
10,121,0.73096021,215
10,131,0.65327746,121
10,132,0.56123065,61
10,135,0.59069478,76
10,140,0.73950022,229
10,143,0.76673478,280
10,146,0.72905828,212
10,147,0.76624998,279
10,148,0.78859282,329
10,154,0.62209460,96
10,155,0.69515649,165
10,157,0.74126248,232
10,159,1.00000000,1561
10,161,0.73221354,217
10,162,0.73158832,216
10,165,0.82171077,420
10,166,0.68046441,148
10,168,0.75083892,249
10,171,0.73529725,222
10,174,0.73283590,218
10,175,0.69099758,160
10,182,0.69597322,166
10,183,0.70915592,183
10,184,0.67954868,147
10,186,0.85606523,541
10,189,0.71208046,187
10,190,0.67862674,146
10,193,0.76673478,280
10,196,0.69183960,161
10,197,0.70841486,182
10,199,0.73032918,214
10,200,0.70616711,179
10,201,0.73158832,216
10,206,0.69099758,160
10,208,0.48730681,35
10,210,0.73771483,226
10,213,0.75246103,252
10,214,0.73529725,222
10,216,0.75299746,253
10,217,0.69099758,160
10,218,0.70311113,175
10,219,0.59418178,78
10,223,0.70311113,175
10,235,0.69183960,161
10,236,0.69183960,161
10,237,0.75083892,249
10,238,0.47547452,32
10,239,0.77380668,295
10,243,0.71351947,189
10,256,0.76576345,278
10,257,0.75029388,248
10,258,0.73283590,218
10,288,0.76673478,280
10,290,0.76478513,276
10,299,0.73221354,217
10,306,0.50499215,40
10,307,0.77426532,296
10,311,0.78525559,321
10,312,0.77380668,295
10,314,0.76478513,276
10,315,0.76865687,284
10,319,0.73283590,218
10,321,0.74184486,233
10,323,0.73221354,217
10,328,0.76527517,277
10,334,0.77563202,299
10,335,0.72251925,202
10,339,0.79503121,345
10,345,0.73590568,223
10,354,0.67676389,144
10,363,0.74300219,235
10,364,0.73221354,217
10,365,0.73221354,217
10,371,0.74641623,241
10,390,0.76330433,273
10,406,0.65873946,126
10,408,0.75029388,248
10,416,0.73890769,228
10,421,0.71062605,185
10,433,0.74919722,246
10,684,0.24365340,5
11,146,1.00000000,142
11,182,0.95956539,116
11,184,0.90892620,90
11,236,0.94343700,107
11,243,0.91330675,92
11,319,0.91330675,92
11,339,0.92590443,98
11,345,0.90892620,90
12,1,0.60686504,72
12,10,0.93447918,739
12,47,1.00000000,1175
12,82,0.65137937,99
12,121,0.33917086,10
12,159,0.40074452,16
12,209,0.59889419,68
12,322,0.35147820,11
13,11,0.93282772,448
13,16,0.52937979,31
13,17,0.94045835,471
13,21,0.87224900,301
13,41,0.66150531,75
13,48,0.69558976,94
13,59,0.53408006,32
13,186,0.90077091,363
13,189,0.91555795,400
13,190,0.63285024,62
13,209,0.71375928,106
13,218,0.90202465,366
13,307,0.75698633,141
13,354,0.99867941,690
13,683,1.00000000,696
14,0,0.88134355,1420
14,1,0.13338468,2
14,16,0.48872586,55
14,41,0.48872586,55
14,53,0.43508208,35
14,56,0.52738995,76
14,57,0.53502844,81
14,64,0.65540154,220
14,83,0.43508208,35
14,84,0.73219735,415
14,87,0.61844222,162
14,93,0.48872586,55
14,94,0.66388793,236
14,104,0.69411557,303
14,105,0.65262311,215
14,107,0.97895231,3174
14,112,0.56619730,105
14,113,0.98433765,3318
14,121,0.78988003,668
14,127,0.44164648,37
14,132,0.60506947,145
14,135,0.56846675,107
14,140,0.73565005,427
14,141,0.98009412,3204
14,143,0.69169531,297
14,147,0.75477036,500
14,148,0.81852313,846
14,153,0.97960066,3191
14,154,0.64745587,206
14,155,0.78563248,645
14,159,0.91487518,1872
14,166,0.43508208,35
14,171,0.76872008,561
14,174,0.66129909,231
14,175,0.60506947,145
14,182,0.63511918,186
14,183,0.70334116,327
14,184,0.75330755,494
14,186,1.00000000,3775
14,193,0.66988480,248
14,196,0.62354738,169
14,199,0.68922583,291
14,200,0.73536605,426
14,206,0.63511918,186
14,208,0.68150091,273
14,213,0.67181969,252
14,216,0.61694329,160
14,217,0.68282302,276
14,218,0.74804429,473
14,219,0.63511918,186
14,233,0.53353871,80
14,235,0.65262311,215
14,236,0.65262311,215
14,237,0.67835884,266
14,238,0.63705150,189
14,243,0.65035366,211
14,256,0.68369649,278
14,257,0.67181969,252
14,290,0.70517799,332
14,311,0.68194322,274
14,315,0.69005459,293
14,319,0.66642271,241
14,321,0.65374213,217
14,326,0.66129909,231
14,333,0.68413088,279
14,340,0.67133885,251
14,364,0.66490820,238
14,365,0.66490820,238
14,371,0.67835884,266
15,0,0.77149713,172
15,15,0.53226967,34
15,53,0.49341836,26
15,83,0.10377077,1
15,84,0.45579418,20
15,87,0.44848983,19
15,88,0.16447279,2
15,112,1.00000000,795
15,132,0.50411645,28
15,171,0.29132139,6
15,184,0.42415918,16
15,190,0.42415918,16
15,214,0.62948277,66
16,0,0.75128980,146
16,53,0.86361817,309
16,84,1.00000000,766
